Date	Open	High	Low	Close	Volume	Label
1-Jun-16	209.12	210.48	208.89	210.27	69936215	209.8
31-May-16	210.56	210.69	209.18	209.84	109879380	209.12
27-May-16	209.53	210.25	209.47	210.24	61633818	210.56
26-May-16	209.44	209.71	208.97	209.34	54330396	209.53
25-May-16	208.67	209.77	207.87	209.28	78059002	209.44
24-May-16	206.17	208.24	206.14	207.87	92183186	208.67
23-May-16	205.51	205.84	204.98	205.21	58382204	206.17
20-May-16	204.92	206.1	204.86	205.49	106391908	205.51
19-May-16	204.06	204.54	202.78	204.2	114213582	204.92
18-May-16	204.44	206.3	203.63	204.91	121676028	204.06
17-May-16	206.46	206.8	204.23	204.85	112758529	204.44
16-May-16	204.96	207.34	204.89	206.78	76651000	206.46
13-May-16	206.21	206.86	204.38	204.76	95946475	204.96
12-May-16	207.29	207.49	205.37	206.56	88843392	206.21
11-May-16	207.91	208.54	206.5	206.5	79920379	207.29
10-May-16	206.72	208.47	206.64	208.45	76445687	207.91
9-May-16	205.57	206.4	205.36	205.89	72649675	206.72
6-May-16	204.06	205.77	203.88	205.72	86900274	205.57
5-May-16	205.56	205.98	204.47	204.97	66549308	204.06
4-May-16	204.99	205.85	204.42	205.01	91312651	205.56
3-May-16	206.52	206.8	205.28	206.16	104707052	204.99
2-May-16	206.92	208.18	206.41	207.97	61624442	206.52
29-Apr-16	206.72	207.13	205.03	206.33	139941202	206.92
28-Apr-16	208.46	209.76	206.96	207.45	95931092	206.72
27-Apr-16	208.47	209.81	208.05	209.35	74785306	208.46
26-Apr-16	209.04	209.52	208.36	208.92	73631053	208.47
25-Apr-16	208.26	208.66	207.54	208.61	65772156	209.04
22-Apr-16	208.55	209.29	207.91	208.97	97485534	208.26
21-Apr-16	210.12	210.25	208.65	208.97	80790054	208.55
20-Apr-16	209.95	210.92	209.39	210.1	77333907	210.12
19-Apr-16	209.74	210.2	208.94	209.9	86869547	209.95
18-Apr-16	207.14	209.28	207	209.24	81477881	209.74
15-Apr-16	208.01	208.17	207.4	207.78	75123038	207.14
14-Apr-16	208.07	208.6	207.6	208.01	64763839	208.01
13-Apr-16	207	208.1	206.84	208	93840162	208.07
12-Apr-16	204.22	206.25	203.7	205.92	113056789	207
11-Apr-16	205.25	206.07	203.91	204.02	81496090	204.22
8-Apr-16	205.34	205.85	203.87	204.5	94553515	205.25
7-Apr-16	205.14	205.56	203.09	203.95	111208660	205.34
6-Apr-16	204.29	206.49	203.98	206.42	91167807	205.14
5-Apr-16	204.67	206.26	203.89	204.19	90930441	204.29
4-Apr-16	206.83	207.07	205.89	206.25	62340197	204.67
1-Apr-16	204.35	207.14	203.98	206.92	112704924	206.83
31-Mar-16	205.91	206.41	205.33	205.52	93143793	204.35
30-Mar-16	206.3	206.87	205.59	206.02	83166291	205.91
29-Mar-16	202.76	205.25	202.4	205.12	90977994	206.3
28-Mar-16	203.61	203.86	202.7	203.24	61514340	202.76
24-Mar-16	202	203.16	201.74	203.12	83607327	203.61
23-Mar-16	204.11	204.33	203.01	203.21	79840502	202
22-Mar-16	203.76	205.23	203.57	204.56	96209380	204.11
21-Mar-16	204.07	204.94	203.8	204.67	70591212	203.76
18-Mar-16	204.17	204.78	203.8	204.38	134715170	204.07
17-Mar-16	203.24	205.23	202.77	204.63	130871283	204.17
16-Mar-16	201.6	203.82	201.55	203.34	125361832	203.24
15-Mar-16	201.36	202.53	201.05	202.17	93169090	201.6
14-Mar-16	202.16	203.04	201.77	202.5	73346912	201.36
11-Mar-16	201.26	202.81	199.52	202.76	135926900	202.16
10-Mar-16	199.96	201.07	197.38	199.54	154899074	201.26
9-Mar-16	199.36	199.79	198.43	199.38	93372316	199.96
8-Mar-16	199.32	199.92	198.21	198.4	121952823	199.36
7-Mar-16	199.34	201.07	199.25	200.59	99778790	199.32
4-Mar-16	200.01	201.35	199.03	200.43	127953606	199.34
3-Mar-16	198.79	199.8	198.11	199.78	94597431	200.01
2-Mar-16	197.74	199.06	197.25	199	101264715	198.79
1-Mar-16	195.01	198.21	194.45	198.11	139070843	197.74
29-Feb-16	195.11	196.23	193.33	193.35	122448542	195.01
26-Feb-16	196.57	196.68	194.9	195.09	128348228	195.11
25-Feb-16	193.73	195.55	192.83	195.54	109183249	196.57
24-Feb-16	190.63	193.53	189.32	193.2	149607920	193.73
23-Feb-16	194	194.32	192.18	192.32	109902798	190.63
22-Feb-16	193.87	194.95	193.79	194.78	101699014	194
19-Feb-16	191.17	192.18	190.45	192	114081542	193.87
18-Feb-16	193.2	193.27	191.72	192.09	101076515	191.17
17-Feb-16	191.16	193.32	191.01	192.88	134203601	193.2
16-Feb-16	188.77	189.81	187.63	189.78	115542766	191.16
12-Feb-16	184.96	186.65	183.96	186.63	127093730	188.77
11-Feb-16	182.34	184.1	181.09	182.86	214629542	184.96
10-Feb-16	186.41	188.34	185.12	185.27	146910485	182.34
9-Feb-16	183.36	186.94	183.2	185.43	179281791	186.41
8-Feb-16	185.77	186.12	182.8	185.42	189248416	183.36
5-Feb-16	190.99	191.67	187.2	187.95	178436180	185.77
4-Feb-16	190.71	192.75	189.96	191.6	137261874	190.99
3-Feb-16	191.41	191.78	187.1	191.3	204060878	190.71
2-Feb-16	191.96	191.97	189.54	190.16	175500039	191.41
1-Feb-16	192.53	194.58	191.84	193.65	133582159	191.96
29-Jan-16	190.02	193.88	189.88	193.72	204034161	192.53
28-Jan-16	189.96	190.2	187.16	189.11	142851654	190.02
27-Jan-16	189.58	191.56	187.06	188.13	184186327	189.96
26-Jan-16	188.42	190.53	188.02	190.2	138004751	189.58
25-Jan-16	189.92	190.15	187.41	187.64	127112162	188.42
22-Jan-16	189.78	190.76	188.88	190.52	166679398	189.92
21-Jan-16	186.21	188.87	184.64	186.69	191085235	189.78
20-Jan-16	185.03	187.5	181.02	185.65	283288870	186.21
19-Jan-16	189.96	190.11	186.2	188.06	192723808	185.03
15-Jan-16	186.77	188.76	185.52	187.81	317904944	189.96
14-Jan-16	189.55	193.26	187.66	191.93	237705564	186.77
13-Jan-16	194.45	194.86	188.38	188.83	218780219	189.55
12-Jan-16	193.82	194.55	191.14	193.66	172330490	194.45
11-Jan-16	193.01	193.41	189.82	192.11	187941323	193.82
8-Jan-16	195.19	195.85	191.58	191.92	209817228	193.01
7-Jan-16	195.33	197.44	193.59	194.05	213436073	195.19
6-Jan-16	198.34	200.06	197.6	198.82	152112604	195.33
5-Jan-16	201.4	201.9	200.05	201.36	110845849	198.34
4-Jan-16	200.49	201.03	198.59	201.02	218722198	201.4
31-Dec-15	205.13	205.89	203.87	203.87	114877859	200.49
30-Dec-15	207.11	207.21	205.76	205.93	63317679	205.13
29-Dec-15	206.51	207.79	206.47	207.4	92640672	207.11
28-Dec-15	204.86	205.26	203.94	205.21	65899939	206.51
24-Dec-15	205.72	206.33	205.42	205.68	48542150	204.86
23-Dec-15	204.69	206.07	204.58	206.02	110987228	205.72
22-Dec-15	202.72	203.85	201.55	203.5	111026246	204.69
21-Dec-15	201.41	201.88	200.09	201.67	99094290	202.72
18-Dec-15	202.77	202.93	199.83	200.02	251393535	201.41
17-Dec-15	208.4	208.48	204.84	204.86	173092476	202.77
16-Dec-15	206.36	208.39	204.8	208.03	197017008	208.4
15-Dec-15	204.7	206.11	202.87	205.03	154069569	206.36
14-Dec-15	202.07	203.05	199.95	202.9	178914452	204.7
